num_nodes,p,r,prob_selected,edge_method,time_mc,approximation,time_ic_apporx,rmse,pearson,spearman,auc
100,0.1,0.1,0.1,random_1,0.5687987804412842,Modified_ALE,0.0007655620574951172,0.14300851008462076,tensor(0.9507),0.9943165963522873,1.0
100,0.1,0.1,0.1,random_1,0.32912564277648926,Matic,0.0011997222900390625,0.026215110303103133,tensor(0.9970),0.992810019999608,1.0
100,0.1,0.1,0.1,random_1,0.32912564277648926,fixed_point,0.002269744873046875,0.07871394790590944,tensor(0.9842),0.9916720086273457,1.0
100,0.1,0.1,0.1,random_1,0.32912564277648926,dmp,0.0034842491149902344,0.181874391400738,tensor(0.8365),0.939230336042995,0.9653532608695652
100,0.1,0.1,0.1,random_1,0.32912564277648926,Srivastava,0.001733541488647461,0.035533265964496734,tensor(0.9946),0.9906632593261391,1.0
100,0.1,0.1,0.1,random_1,0.32912564277648926,ALE,0.0006053447723388672,0.2628108624873363,tensor(0.9873),0.9781708343510714,0.9972826086956521
100,0.1,0.1,0.1,random_1,0.32912564277648926,Modified_ALE,0.0006515979766845703,0.1051132471387274,tensor(0.9625),0.9892253181451522,1.0
100,0.1,0.1,0.1,random_1,0.4539351463317871,Matic,0.0014111995697021484,0.03809052525300788,tensor(0.9965),0.993494325828887,1.0
100,0.1,0.1,0.1,random_1,0.4539351463317871,fixed_point,0.0020487308502197266,0.10306960861583322,tensor(0.9845),0.993891620956704,1.0
100,0.1,0.1,0.1,random_1,0.4539351463317871,dmp,0.004082918167114258,0.2214953458514476,tensor(0.8174),0.8999518766869603,0.9269102990033223
100,0.1,0.1,0.1,random_1,0.4539351463317871,Srivastava,0.0023834705352783203,0.04440068503951624,tensor(0.9950),0.9932710393998226,1.0
100,0.1,0.1,0.1,random_1,0.4539351463317871,ALE,0.0005719661712646484,0.4604429566168901,tensor(0.9479),0.9813012160497073,0.9775747508305648
100,0.1,0.1,0.1,random_1,0.4539351463317871,Modified_ALE,0.0011334419250488281,0.1395490799754119,tensor(0.9563),0.9913573755347428,0.9941860465116279
100,0.1,0.1,0.1,random_1,0.3917269706726074,Matic,0.0009183883666992188,0.033772376452488866,tensor(0.9956),0.9850123087496234,0.9999999999999999
100,0.1,0.1,0.1,random_1,0.3917269706726074,fixed_point,0.0014698505401611328,0.0959254475410014,tensor(0.9821),0.9881652360237251,1.0
100,0.1,0.1,0.1,random_1,0.3917269706726074,dmp,0.002698183059692383,0.18259146198077672,tensor(0.8354),0.9088975443796323,0.951111111111111
100,0.1,0.1,0.1,random_1,0.3917269706726074,Srivastava,0.001483917236328125,0.045774358069516824,tensor(0.9923),0.983503876973866,1.0
100,0.1,0.1,0.1,random_1,0.3917269706726074,ALE,0.0004954338073730469,0.30119023446454446,tensor(0.9911),0.9539755980840722,1.0
100,0.1,0.1,0.1,random_1,0.3917269706726074,Modified_ALE,0.0006108283996582031,0.134605914307763,tensor(0.9496),0.9765767297746846,1.0
100,0.1,0.1,0.1,random_1,0.5601539611816406,Matic,0.001312255859375,0.045767620522606384,tensor(0.9961),0.9952467794325387,1.0
100,0.1,0.1,0.1,random_1,0.5601539611816406,fixed_point,0.0012698173522949219,0.1231506606292584,tensor(0.9882),0.9910423532281436,1.0
100,0.1,0.1,0.1,random_1,0.5601539611816406,dmp,0.0033125877380371094,0.25299691444615013,tensor(0.7773),0.8797412155175011,0.9394046775336641
100,0.1,0.1,0.1,random_1,0.5601539611816406,Srivastava,0.0017271041870117188,0.05774080423619007,tensor(0.9941),0.9927766458611492,1.0
100,0.1,0.1,0.1,random_1,0.5601539611816406,ALE,0.0005931854248046875,0.6268889254680581,tensor(0.9765),0.9885525331328784,0.998582565556343
100,0.1,0.1,0.1,random_1,0.5601539611816406,Modified_ALE,0.0009970664978027344,0.20794692961807879,tensor(0.9241),0.9920981145442141,1.0
100,0.1,0.1,0.1,random_1,0.4348721504211426,Matic,0.0015387535095214844,0.032915441572565915,tensor(0.9973),0.993552408767046,1.0
100,0.1,0.1,0.1,random_1,0.4348721504211426,fixed_point,0.001257181167602539,0.09604628503294613,tensor(0.9891),0.9938110533147514,1.0
100,0.1,0.1,0.1,random_1,0.4348721504211426,dmp,0.0034475326538085938,0.20923383031658396,tensor(0.8083),0.914098623235963,0.9354553492484526
100,0.1,0.1,0.1,random_1,0.4348721504211426,Srivastava,0.0017545223236083984,0.039952878831639116,tensor(0.9955),0.9922249109605541,1.0
100,0.1,0.1,0.1,random_1,0.4348721504211426,ALE,0.0006163120269775391,0.2957883069646951,tensor(0.9853),0.9856992411758654,1.0
100,0.1,0.1,0.1,random_1,0.4348721504211426,Modified_ALE,0.0008943080902099609,0.1210222456151057,tensor(0.9613),0.9898637795672202,1.0
1000,0.02,0.0,0.001,random_0.1,0.15122008323669434,Matic,0.001851797103881836,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15122008323669434,fixed_point,0.0070111751556396484,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15122008323669434,dmp,0.06618356704711914,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15122008323669434,Srivastava,0.003276824951171875,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15122008323669434,ALE,0.0020711421966552734,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15122008323669434,Modified_ALE,0.0020842552185058594,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.21512317657470703,Matic,0.0018200874328613281,0.004114910731160087,tensor(0.9979),0.6701977830362439,0.9178939467705292
1000,0.02,0.0,0.001,random_0.1,0.21512317657470703,fixed_point,0.007455110549926758,0.011843408223136382,tensor(0.9847),0.6571951913646445,0.9977077247646867
1000,0.02,0.0,0.001,random_0.1,0.21512317657470703,dmp,0.06849098205566406,0.026145586646513324,tensor(0.9082),0.6699376953389375,0.9171433787731256
1000,0.02,0.0,0.001,random_0.1,0.21512317657470703,Srivastava,0.0033974647521972656,0.006590073910023096,tensor(0.9950),0.48375712601597404,0.7865546900357027
1000,0.02,0.0,0.001,random_0.1,0.21512317657470703,ALE,0.002043008804321289,0.05475416547898011,tensor(0.9916),0.3442922580781638,0.6730769230769231
1000,0.02,0.0,0.001,random_0.1,0.21512317657470703,Modified_ALE,0.0021932125091552734,0.019765904588568962,tensor(0.9642),0.48375715246941914,0.7865546900357027
1000,0.02,0.0,0.001,random_0.1,0.14603018760681152,Matic,0.0018804073333740234,0.0,tensor(nan),,
