num_nodes,num_edges_per_node,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
5000,2,0.1,random_0.5,61.51859903335571,dmp_inf,10,0,0.1314680576324463,0.004377529249251343,tensor(0.9998),0.999723157045646,0.9999983157894737
5000,2,0.1,random_0.5,61.51859903335571,modified_ALE,3,0,0.01214909553527832,0.11819414670093056,tensor(0.9209),0.9110025528880055,0.9933591578947369
5000,2,0.1,random_0.5,61.51859903335571,ALE_heuristic,3,0,0.012474298477172852,0.23615136905829004,tensor(0.8262),0.7976818317890287,0.9903848421052631
5000,2,0.1,random_0.5,60.352418422698975,SWE,4,2,0.018897294998168945,0.024884260614931188,tensor(0.9960),0.9962819760042917,0.9991895966355677
5000,2,0.1,random_0.5,60.352418422698975,um_IC,6,0,0.01767134666442871,0.024137072444515316,tensor(0.9944),0.9950862781565883,0.9991954691237157
5000,2,0.1,random_0.5,60.352418422698975,dmp_um_fast,10,0,0.06491804122924805,0.1776329736382961,tensor(0.6573),0.7336167007006213,0.7419762936042731
5000,2,0.1,random_0.5,60.352418422698975,Naive,6,0,0.04381227493286133,0.17881070671728994,tensor(0.6827),0.7429252904740348,0.7457372027996668
5000,2,0.1,random_0.5,60.352418422698975,dmp_ic_fast,10,0,0.03900766372680664,0.1748094664618353,tensor(0.6668),0.7399991510412017,0.7428521332652125
5000,2,0.1,random_0.5,60.352418422698975,dmp_inf,10,0,0.1298370361328125,0.004285418284776054,tensor(0.9998),0.9997238159421795,0.9999874160968256
5000,2,0.1,random_0.5,60.352418422698975,modified_ALE,3,0,0.012434244155883789,0.12574669469912736,tensor(0.9101),0.9014578893531598,0.988255023703879
5000,2,0.1,random_0.5,60.352418422698975,ALE_heuristic,3,0,0.01307225227355957,0.23530338316553093,tensor(0.8226),0.7930716646801259,0.9835108922071244
5000,2,0.1,random_0.5,60.861613512039185,SWE,4,2,0.016954898834228516,0.023099333506022467,tensor(0.9965),0.9966437434636,0.999578947368421
5000,2,0.1,random_0.5,60.861613512039185,um_IC,6,0,0.016904354095458984,0.023785496124944162,tensor(0.9947),0.9954163789784309,0.9995267368421052
5000,2,0.1,random_0.5,60.861613512039185,dmp_um_fast,10,0,0.06650948524475098,0.1804756006369033,tensor(0.6574),0.7372143383917376,0.7698795789473685
5000,2,0.1,random_0.5,60.861613512039185,Naive,6,0,0.044225454330444336,0.1797644098133857,tensor(0.6841),0.747321427550294,0.7738408421052632
5000,2,0.1,random_0.5,60.861613512039185,dmp_ic_fast,10,0,0.038828134536743164,0.17713713646689175,tensor(0.6675),0.743568524680027,0.7711924210526314
5000,2,0.1,random_0.5,60.861613512039185,dmp_inf,10,0,0.1303694248199463,0.004439711121020174,tensor(0.9998),0.999715785492876,0.9999890526315789
5000,2,0.1,random_0.5,60.861613512039185,modified_ALE,3,0,0.011218070983886719,0.12217961948743399,tensor(0.9138),0.9054920293018343,0.9933313684210526
5000,2,0.1,random_0.5,60.861613512039185,ALE_heuristic,3,0,0.01151132583618164,0.23617417862172796,tensor(0.8242),0.8004566604391938,0.990042947368421
5000,2,0.1,random_0.5,59.61406922340393,SWE,4,2,0.018329143524169922,0.023346943304218933,tensor(0.9961),0.9959329207075468,0.9994745263157894
5000,2,0.1,random_0.5,59.61406922340393,um_IC,6,0,0.016320228576660156,0.024106258538805055,tensor(0.9945),0.9948615221090918,0.9993684210526316
5000,2,0.1,random_0.5,59.61406922340393,dmp_um_fast,10,0,0.06118917465209961,0.17472948555875367,tensor(0.6699),0.7524520716421446,0.7622837894736842
5000,2,0.1,random_0.5,59.61406922340393,Naive,6,0,0.044675588607788086,0.17573575914695436,tensor(0.6926),0.758368122787458,0.7637465263157894
5000,2,0.1,random_0.5,59.61406922340393,dmp_ic_fast,10,0,0.03785204887390137,0.1718802884762114,tensor(0.6788),0.7574311593975878,0.762949894736842
5000,2,0.1,random_0.5,59.61406922340393,dmp_inf,10,0,0.12452340126037598,0.004329806800740283,tensor(0.9998),0.9997096050122724,0.9999974736842104
5000,2,0.1,random_0.5,59.61406922340393,modified_ALE,3,0,0.012310028076171875,0.13010993975125892,tensor(0.9032),0.8891795128095659,0.991487157894737
5000,2,0.1,random_0.5,59.61406922340393,ALE_heuristic,3,0,0.011667251586914062,0.24141896501406584,tensor(0.8056),0.7662639336192041,0.9807646315789473
5000,2,0.1,random_0.5,61.38035821914673,SWE,4,2,0.018288850784301758,0.022666513855802674,tensor(0.9964),0.9962082147397637,0.9994846315789473
5000,2,0.1,random_0.5,61.38035821914673,um_IC,6,0,0.023448705673217773,0.024725589407248588,tensor(0.9946),0.9951411830897675,0.9993347368421053
5000,2,0.1,random_0.5,61.38035821914673,dmp_um_fast,10,0,0.07424330711364746,0.17649530972146496,tensor(0.6685),0.7456133157590226,0.7657381052631578
5000,2,0.1,random_0.5,61.38035821914673,Naive,6,0,0.048018455505371094,0.17620341680464854,tensor(0.6926),0.7547172343094581,0.7692109473684211
5000,2,0.1,random_0.5,61.38035821914673,dmp_ic_fast,10,0,0.046041250228881836,0.17331453057945367,tensor(0.6776),0.751841536357216,0.7663654736842106
5000,2,0.1,random_0.5,61.38035821914673,dmp_inf,10,0,0.1319437026977539,0.004421090953967243,tensor(0.9998),0.9997094224213078,0.9999621052631579
5000,2,0.1,random_0.5,61.38035821914673,modified_ALE,3,0,0.012329816818237305,0.13188322420148063,tensor(0.9063),0.8895831937434057,0.992704842105263
5000,2,0.1,random_0.5,61.38035821914673,ALE_heuristic,3,0,0.012081146240234375,0.24707482827624597,tensor(0.8023),0.7621530102336026,0.9744606315789474
5000,2,0.1,random_0.5,62.849058628082275,SWE,4,2,0.017653226852416992,0.023783660660595618,tensor(0.9963),0.9964932446967182,0.9992926315789473
5000,2,0.1,random_0.5,62.849058628082275,um_IC,6,0,0.01714348793029785,0.02419677119697136,tensor(0.9944),0.9949588241410123,0.9991705263157895
5000,2,0.1,random_0.5,62.849058628082275,dmp_um_fast,10,0,0.06578493118286133,0.17628154555189285,tensor(0.6675),0.7365563759049539,0.7697532631578947
5000,2,0.1,random_0.5,62.849058628082275,Naive,6,0,0.046788930892944336,0.17545336767151506,tensor(0.6950),0.7475708495528316,0.7741962105263158
5000,2,0.1,random_0.5,62.849058628082275,dmp_ic_fast,10,0,0.04409003257751465,0.17314611542865055,tensor(0.6768),0.7421330699315438,0.7709195789473684
5000,2,0.1,random_0.5,62.849058628082275,dmp_inf,10,0,0.13251519203186035,0.004456602426817535,tensor(0.9998),0.9997196030544717,0.9999806315789473
5000,2,0.1,random_0.5,62.849058628082275,modified_ALE,3,0,0.01212310791015625,0.1227309052943932,tensor(0.9136),0.9052916395165506,0.9907578947368421
5000,2,0.1,random_0.5,62.849058628082275,ALE_heuristic,3,0,0.012256860733032227,0.23781100758900087,tensor(0.8220),0.7938759486987249,0.985274947368421
5000,2,0.1,random_0.5,61.28698372840881,SWE,4,2,0.017845869064331055,0.023018763306928113,tensor(0.9964),0.9963173116939601,0.999312842105263
5000,2,0.1,random_0.5,61.28698372840881,um_IC,6,0,0.017987966537475586,0.024110498253765714,tensor(0.9945),0.994982605643806,0.9991915789473684
5000,2,0.1,random_0.5,61.28698372840881,dmp_um_fast,10,0,0.07314682006835938,0.1719341230573895,tensor(0.6781),0.7436434394568248,0.7863115789473684
5000,2,0.1,random_0.5,61.28698372840881,Naive,6,0,0.051025390625,0.1733266637385124,tensor(0.7004),0.750860282010968,0.7897886315789474
5000,2,0.1,random_0.5,61.28698372840881,dmp_ic_fast,10,0,0.044947147369384766,0.1691505475470504,tensor(0.6868),0.7490999801954512,0.7875225263157896
5000,2,0.1,random_0.5,61.28698372840881,dmp_inf,10,0,0.13413429260253906,0.004374192320094888,tensor(0.9998),0.9997243237587097,0.999978105263158
5000,2,0.1,random_0.5,61.28698372840881,modified_ALE,3,0,0.012375354766845703,0.12741391115543912,tensor(0.9090),0.8976424263751058,0.9908143157894738
5000,2,0.1,random_0.5,61.28698372840881,ALE_heuristic,3,0,0.013875484466552734,0.24062192871561225,tensor(0.8108),0.7759980509951572,0.9786543157894737
5000,2,0.1,random_0.5,60.29789066314697,SWE,4,2,0.018189191818237305,0.02304871529570214,tensor(0.9963),0.9963638306336209,0.9993532631578947
5000,2,0.1,random_0.5,60.29789066314697,um_IC,6,0,0.016993284225463867,0.024202065335047835,tensor(0.9943),0.994957024078724,0.9992033684210526
5000,2,0.1,random_0.5,60.29789066314697,dmp_um_fast,10,0,0.0694739818572998,0.17329440528733903,tensor(0.6753),0.7513224596922478,0.7740926315789474
5000,2,0.1,random_0.5,60.29789066314697,Naive,6,0,0.046103477478027344,0.1734920370857362,tensor(0.6978),0.7579281256635876,0.7750265263157896
5000,2,0.1,random_0.5,60.29789066314697,dmp_ic_fast,10,0,0.042179107666015625,0.17032405787806087,tensor(0.6839),0.7563518898617386,0.7746543157894736
5000,2,0.1,random_0.5,60.29789066314697,dmp_inf,10,0,0.13308382034301758,0.004373767928892028,tensor(0.9998),0.9997199671564285,0.9999983157894736
5000,2,0.1,random_0.5,60.29789066314697,modified_ALE,3,0,0.012740612030029297,0.11855058270155942,tensor(0.9184),0.9087909410391067,0.9925650526315788
5000,2,0.1,random_0.5,60.29789066314697,ALE_heuristic,3,0,0.01281118392944336,0.23240104549900356,tensor(0.8264),0.7906065700308846,0.9888791578947369
5000,2,0.1,random_0.5,60.88904881477356,SWE,4,2,0.01771378517150879,0.023224666446695547,tensor(0.9966),0.9967074478043981,0.9992631578947369
5000,2,0.1,random_0.5,60.88904881477356,um_IC,6,0,0.018234729766845703,0.023451936021121216,tensor(0.9949),0.9952140317768772,0.9992134736842105
5000,2,0.1,random_0.5,60.88904881477356,dmp_um_fast,10,0,0.07172060012817383,0.1804448937670808,tensor(0.6602),0.7379618426553483,0.7420202105263157
5000,2,0.1,random_0.5,60.88904881477356,Naive,6,0,0.045857906341552734,0.17913698784138288,tensor(0.6866),0.7488258457901942,0.7453035789473685
5000,2,0.1,random_0.5,60.88904881477356,dmp_ic_fast,10,0,0.04574012756347656,0.17734354666139482,tensor(0.6683),0.7433908843145511,0.7421717894736842
5000,2,0.1,random_0.5,60.88904881477356,dmp_inf,10,0,0.13277339935302734,0.004481715513068819,tensor(0.9998),0.9997112429410107,0.9999932631578947
5000,2,0.1,random_0.5,60.88904881477356,modified_ALE,3,0,0.012827634811401367,0.12158866848887599,tensor(0.9171),0.9095026120341103,0.9906753684210526
5000,2,0.1,random_0.5,60.88904881477356,ALE_heuristic,3,0,0.012177467346191406,0.23596024845678065,tensor(0.8291),0.7981405644762506,0.9873903157894737
5000,2,0.1,random_1,98.713862657547,SWE,4,2,0.02214360237121582,0.02703573134484029,tensor(0.9921),0.989463654542175,0.9979189232559073
5000,2,0.1,random_1,98.713862657547,um_IC,10,0,0.024111509323120117,0.069044514845138,tensor(0.9682),0.9513333589110919,0.9878202685174042
5000,2,0.1,random_1,98.713862657547,dmp_um_fast,10,0,0.0717623233795166,0.0865928145719132,tensor(0.9243),0.926524231117015,0.9939510871745496
5000,2,0.1,random_1,98.713862657547,Naive,6,0,0.04780173301696777,0.08242180076252274,tensor(0.9281),0.931106225782406,0.9942690991027133
5000,2,0.1,random_1,98.713862657547,dmp_ic_fast,10,0,0.046767234802246094,0.07692906419872067,tensor(0.9341),0.9394733940120051,0.9960459541862238
5000,2,0.1,random_1,98.713862657547,dmp_inf,10,0,0.14108633995056152,0.0034849077301553344,tensor(0.9999),0.9998027399950125,0.9996330953049571
5000,2,0.1,random_1,98.713862657547,modified_ALE,4,0,0.01388239860534668,0.15708131181957566,tensor(0.8371),0.8220426608390785,0.7273588879528222
5000,2,0.1,random_1,98.713862657547,ALE_heuristic,3,0,0.012308597564697266,0.53399507167235,tensor(0.4903),0.5523486160384734,0.8902729302897794
5000,2,0.1,random_1,90.03677439689636,SWE,4,2,0.017526626586914062,0.026919170169731905,tensor(0.9917),0.9895033725829742,0.9980483218767613
5000,2,0.1,random_1,90.03677439689636,um_IC,10,0,0.02531576156616211,0.0703060690270054,tensor(0.9647),0.9493941573708049,0.9873005559698462
5000,2,0.1,random_1,90.03677439689636,dmp_um_fast,10,0,0.07039308547973633,0.09542819841357517,tensor(0.9016),0.9140080300034511,0.9888851151522907
5000,2,0.1,random_1,90.03677439689636,Naive,6,0,0.044827938079833984,0.0921167977410315,tensor(0.9037),0.9185107364229311,0.9868009460593576
5000,2,0.1,random_1,90.03677439689636,dmp_ic_fast,10,0,0.03977346420288086,0.08693045290156345,tensor(0.9112),0.9273296819300103,0.9890926706651867
5000,2,0.1,random_1,90.03677439689636,dmp_inf,10,0,0.1273491382598877,0.0034629454824046035,tensor(0.9999),0.9997926613839435,0.9996710286139474
5000,2,0.1,random_1,90.03677439689636,modified_ALE,4,0,0.01194453239440918,0.16300223823887275,tensor(0.8245),0.8167724977788856,0.7199030149694287
