num_nodes,p,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
5000,0.0008,0.1,random_1,90.99945163726807,SWE,5,2,0.019015073776245117,0.026430901838706305,tensor(0.9951),0.9929231720264845,0.9997208204225173
5000,0.0008,0.1,random_1,90.99945163726807,um_IC,9,0,0.025957345962524414,0.04975679844053386,tensor(0.9859),0.9761019504930685,0.9991106197021744
5000,0.0008,0.1,random_1,90.99945163726807,dmp_um_fast,10,0,0.06949377059936523,0.031553096813433185,tensor(0.9957),0.9958803181268014,0.9997182708373349
5000,0.0008,0.1,random_1,90.99945163726807,Naive,6,0,0.044167280197143555,0.03150914078945769,tensor(0.9940),0.9911747329796797,0.9997382425879309
5000,0.0008,0.1,random_1,90.99945163726807,dmp_ic_fast,10,0,0.03895878791809082,0.002987790860270258,tensor(0.9999),0.999693365717559,0.999824503553272
5000,0.0008,0.1,random_1,90.99945163726807,dmp_inf,10,0,0.14674019813537598,0.0029757313119074605,tensor(0.9999),0.9996938575668365,0.99982429108784
5000,0.0008,0.1,random_1,90.99945163726807,modified_ALE,4,0,0.016918659210205078,0.13519131420608196,tensor(0.8928),0.8082119039739689,0.7044032185963344
5000,0.0008,0.1,random_1,90.99945163726807,ALE_heuristic,3,0,0.01598644256591797,0.6089600837761535,tensor(0.5106),0.7126512336934799,0.9701139749562746
5000,0.0008,0.1,random_1,91.28389239311218,SWE,5,2,0.019074201583862305,0.026430901838706305,tensor(0.9951),0.9929231720264845,0.9997208204225173
5000,0.0008,0.1,random_1,91.28389239311218,um_IC,9,0,0.019685029983520508,0.04975679844053386,tensor(0.9859),0.9761019504930685,0.9991106197021744
5000,0.0008,0.1,random_1,91.28389239311218,dmp_um_fast,10,0,0.06772971153259277,0.031553096813433185,tensor(0.9957),0.9958803181268014,0.9997182708373349
5000,0.0008,0.1,random_1,91.28389239311218,Naive,6,0,0.045575618743896484,0.03150914078945769,tensor(0.9940),0.9911747329796797,0.9997382425879309
5000,0.0008,0.1,random_1,91.28389239311218,dmp_ic_fast,10,0,0.0380094051361084,0.002987790860270258,tensor(0.9999),0.999693365717559,0.999824503553272
5000,0.0008,0.1,random_1,91.28389239311218,dmp_inf,10,0,0.15323448181152344,0.0029757313119074605,tensor(0.9999),0.9996938575668365,0.99982429108784
5000,0.0008,0.1,random_1,91.28389239311218,modified_ALE,4,0,0.01511240005493164,0.13519131420608196,tensor(0.8928),0.8082119039739689,0.7044032185963344
5000,0.0008,0.1,random_1,91.28389239311218,ALE_heuristic,3,0,0.013436317443847656,0.6089600837761535,tensor(0.5106),0.7126512336934799,0.9701139749562746
5000,0.0008,0.2,random_0.05,26.86325764656067,SWE,3,0,0.015296459197998047,0.0012324512460165345,tensor(1.0000),0.9982418168033094,1.0
5000,0.0008,0.2,random_0.05,26.86325764656067,um_IC,3,0,0.014627456665039062,0.001233458282798434,tensor(1.0000),0.9982412301163776,1.0
5000,0.0008,0.2,random_0.05,26.86325764656067,dmp_um_fast,10,0,0.07104825973510742,0.0012337382149156361,tensor(1.0000),0.9982390556402544,1.0
5000,0.0008,0.2,random_0.05,26.86325764656067,Naive,3,0,0.04532170295715332,0.0012334598957580184,tensor(1.0000),0.9982413279620537,1.0
5000,0.0008,0.2,random_0.05,26.86325764656067,dmp_ic_fast,10,0,0.04270482063293457,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.86325764656067,dmp_inf,10,0,0.07809948921203613,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.86325764656067,modified_ALE,2,0,0.014744758605957031,0.0016873503218518772,tensor(1.0000),0.9977896318973781,1.0
5000,0.0008,0.2,random_0.05,26.86325764656067,ALE_heuristic,2,0,0.012578487396240234,0.01536673699791569,tensor(0.9995),0.9661120479806768,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,SWE,3,0,0.016330480575561523,0.0012324512460165345,tensor(1.0000),0.9982418168033094,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,um_IC,3,0,0.015414714813232422,0.001233458282798434,tensor(1.0000),0.9982412301163776,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,dmp_um_fast,10,0,0.06802701950073242,0.0012337382149156361,tensor(1.0000),0.9982390556402544,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,Naive,3,0,0.045697689056396484,0.0012334598957580184,tensor(1.0000),0.9982413279620537,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,dmp_ic_fast,10,0,0.039336442947387695,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,dmp_inf,10,0,0.08269524574279785,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,modified_ALE,2,0,0.016344785690307617,0.0016873503218518772,tensor(1.0000),0.9977896318973781,1.0
5000,0.0008,0.2,random_0.05,26.662804126739502,ALE_heuristic,2,0,0.013110160827636719,0.01536673699791569,tensor(0.9995),0.9661120479806768,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,SWE,3,0,0.014763355255126953,0.0012324512460165345,tensor(1.0000),0.9982418168033094,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,um_IC,3,0,0.014799356460571289,0.001233458282798434,tensor(1.0000),0.9982412301163776,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,dmp_um_fast,10,0,0.06612038612365723,0.0012337382149156361,tensor(1.0000),0.9982390556402544,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,Naive,3,0,0.044003963470458984,0.0012334598957580184,tensor(1.0000),0.9982413279620537,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,dmp_ic_fast,10,0,0.03868222236633301,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,dmp_inf,10,0,0.07728457450866699,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,modified_ALE,2,0,0.01304936408996582,0.0016873503218518772,tensor(1.0000),0.9977896318973781,1.0
5000,0.0008,0.2,random_0.05,26.96145725250244,ALE_heuristic,2,0,0.014744758605957031,0.01536673699791569,tensor(0.9995),0.9661120479806768,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,SWE,3,0,0.014649629592895508,0.0012324512460165345,tensor(1.0000),0.9982418168033094,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,um_IC,3,0,0.0155181884765625,0.001233458282798434,tensor(1.0000),0.9982412301163776,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,dmp_um_fast,10,0,0.07235121726989746,0.0012337382149156361,tensor(1.0000),0.9982390556402544,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,Naive,3,0,0.04671192169189453,0.0012334598957580184,tensor(1.0000),0.9982413279620537,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,dmp_ic_fast,10,0,0.043218135833740234,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,dmp_inf,10,0,0.09283876419067383,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,modified_ALE,2,0,0.01558232307434082,0.0016873503218518772,tensor(1.0000),0.9977896318973781,1.0
5000,0.0008,0.2,random_0.05,27.306848287582397,ALE_heuristic,2,0,0.018530607223510742,0.01536673699791569,tensor(0.9995),0.9661120479806768,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,SWE,3,0,0.01502370834350586,0.0012324512460165345,tensor(1.0000),0.9982418168033094,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,um_IC,3,0,0.014489889144897461,0.001233458282798434,tensor(1.0000),0.9982412301163776,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,dmp_um_fast,10,0,0.06811046600341797,0.0012337382149156361,tensor(1.0000),0.9982390556402544,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,Naive,3,0,0.055768489837646484,0.0012334598957580184,tensor(1.0000),0.9982413279620537,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,dmp_ic_fast,10,0,0.04528927803039551,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,dmp_inf,10,0,0.08355283737182617,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,modified_ALE,2,0,0.013125419616699219,0.0016873503218518772,tensor(1.0000),0.9977896318973781,1.0
5000,0.0008,0.2,random_0.05,26.81527280807495,ALE_heuristic,2,0,0.021714448928833008,0.01536673699791569,tensor(0.9995),0.9661120479806768,1.0
5000,0.0008,0.2,random_0.05,26.94417643547058,SWE,3,0,0.015297174453735352,0.0012324512460165345,tensor(1.0000),0.9982418168033094,1.0
5000,0.0008,0.2,random_0.05,26.94417643547058,um_IC,3,0,0.015006065368652344,0.001233458282798434,tensor(1.0000),0.9982412301163776,1.0
5000,0.0008,0.2,random_0.05,26.94417643547058,dmp_um_fast,10,0,0.0717923641204834,0.0012337382149156361,tensor(1.0000),0.9982390556402544,1.0
5000,0.0008,0.2,random_0.05,26.94417643547058,Naive,3,0,0.04611372947692871,0.0012334598957580184,tensor(1.0000),0.9982413279620537,1.0
5000,0.0008,0.2,random_0.05,26.94417643547058,dmp_ic_fast,10,0,0.04306674003601074,0.0012337379845449485,tensor(1.0000),0.998239041123145,1.0
