dataset,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
Anybeat,0.01,random_1,270.68239665031433,modified_ALE,3,0,0.04597210884094238,0.18863627727815754,tensor(0.8741),0.8905115626807419,0.8975058648983185
Anybeat,0.01,random_1,270.68239665031433,ALE_heuristic,3,0,0.04561114311218262,0.4282931505767552,tensor(0.5895),0.598508309064728,0.8851772854330111
Anybeat,0.01,random_1,272.54844427108765,SWE,1,4,0.0606846809387207,0.021821678208939856,tensor(0.9981),0.9980857493862184,0.9993071428412897
Anybeat,0.01,random_1,272.54844427108765,um_IC,6,0,0.06273770332336426,0.05037836121504415,tensor(0.9918),0.9909194842115631,0.9984884521693144
Anybeat,0.01,random_1,272.54844427108765,dmp_um_fast,5,0,0.22246193885803223,0.04279477760691401,tensor(0.9928),0.9937495463220141,0.9994567162835145
Anybeat,0.01,random_1,272.54844427108765,Naive,5,0,0.13858914375305176,0.046361479669012995,tensor(0.9915),0.9926725605945949,0.9993009601552837
Anybeat,0.01,random_1,272.54844427108765,dmp_ic_fast,5,0,0.15228915214538574,0.04167508838648625,tensor(0.9931),0.9940383560094566,0.9994786727453567
Anybeat,0.01,random_1,272.54844427108765,dmp_inf,5,0,0.43064332008361816,0.012921132532331178,tensor(0.9993),0.9990173663119138,0.9994900869349065
Anybeat,0.01,random_1,272.54844427108765,modified_ALE,3,0,0.04703092575073242,0.19077308210841828,tensor(0.8716),0.8888279499985287,0.9030941252117569
Anybeat,0.01,random_1,272.54844427108765,ALE_heuristic,3,0,0.04599881172180176,0.4566316079978131,tensor(0.5495),0.5708077323785523,0.8790590918934207
Anybeat,0.1,random_0.1,200.27478885650635,SWE,3,4,0.06234860420227051,0.0028786030112104466,tensor(0.9999),0.9994995599116958,0.9999967120820201
Anybeat,0.1,random_0.1,200.27478885650635,um_IC,9,0,0.06782770156860352,0.003153879691249597,tensor(0.9999),0.9994887702327391,0.9999956599482666
Anybeat,0.1,random_0.1,200.27478885650635,dmp_um_fast,10,0,0.22891569137573242,0.23119530675391317,tensor(0.4475),0.6888706593382012,0.6932915688839859
Anybeat,0.1,random_0.1,200.27478885650635,Naive,10,0,0.15636968612670898,0.23111205916386665,tensor(0.4499),0.6895055786098769,0.693783638688852
Anybeat,0.1,random_0.1,200.27478885650635,dmp_ic_fast,10,0,0.16721034049987793,0.2311525545493979,tensor(0.4484),0.6891107766136365,0.6934361715167403
