num_nodes,p,prob_selected,edge_method,time_mc,approximation,time_ic_apporx,rmse,pearson,spearman,auc
10000,0.0004,0.05,random_1,192.53581714630127,fixed_point,0.07941198348999023,0.06975392491268342,tensor(0.9721),0.9520571467312391,0.9990965296377892
10000,0.0004,0.05,random_1,192.53581714630127,dmp,4.242102384567261,0.06316857446869961,tensor(0.9830),0.9849275675086551,0.9996631030626579
10000,0.0004,0.05,random_1,192.53581714630127,Srivastava,0.032343149185180664,0.13078797228546607,tensor(0.9360),0.9402112470460979,0.9981764905737418
10000,0.0004,0.05,random_1,192.53581714630127,ALE,0.03693389892578125,4.3900567498156065,tensor(0.4188),0.7369365903965984,0.8649420362058511
10000,0.0004,0.05,random_1,192.53581714630127,Modified_ALE,0.036034345626831055,50.8388375392647,tensor(-0.0012),0.07244415104949398,0.569849647600852
10000,0.0004,0.05,random_1,190.5971384048462,Matic,0.02646946907043457,0.03799458392600444,tensor(0.9906),0.9880712862573781,0.9996770055366127
10000,0.0004,0.05,random_1,190.5971384048462,fixed_point,0.08500456809997559,0.06975392491268342,tensor(0.9721),0.9520571467312391,0.9990965296377892
10000,0.0004,0.05,random_1,190.5971384048462,dmp,4.302315950393677,0.06316857446869961,tensor(0.9830),0.9849275675086551,0.9996631030626579
10000,0.0004,0.05,random_1,190.5971384048462,Srivastava,0.0341794490814209,0.13078797228546607,tensor(0.9360),0.9402112470460979,0.9981764905737418
10000,0.0004,0.05,random_1,190.5971384048462,ALE,0.03693723678588867,4.3900567498156065,tensor(0.4188),0.7369365903965984,0.8649420362058511
10000,0.0004,0.05,random_1,190.5971384048462,Modified_ALE,0.038327693939208984,50.8388375392647,tensor(-0.0012),0.07244415104949398,0.569849647600852
10000,0.0004,0.05,random_1,195.23343968391418,Matic,0.026825904846191406,0.03799458392600444,tensor(0.9906),0.9880712862573781,0.9996770055366127
10000,0.0004,0.05,random_1,195.23343968391418,fixed_point,0.07938385009765625,0.06975392491268342,tensor(0.9721),0.9520571467312391,0.9990965296377892
10000,0.0004,0.05,random_1,195.23343968391418,dmp,4.294110536575317,0.06316857446869961,tensor(0.9830),0.9849275675086551,0.9996631030626579
10000,0.0004,0.05,random_1,195.23343968391418,Srivastava,0.03304648399353027,0.13078797228546607,tensor(0.9360),0.9402112470460979,0.9981764905737418
10000,0.0004,0.05,random_1,195.23343968391418,ALE,0.036956071853637695,4.3900567498156065,tensor(0.4188),0.7369365903965984,0.8649420362058511
10000,0.0004,0.05,random_1,195.23343968391418,Modified_ALE,0.03860664367675781,50.8388375392647,tensor(-0.0012),0.07244415104949398,0.569849647600852
10000,0.0004,0.05,random_1,196.22944164276123,Matic,0.029564857482910156,0.03799458392600444,tensor(0.9906),0.9880712862573781,0.9996770055366127
10000,0.0004,0.05,random_1,196.22944164276123,fixed_point,0.09226465225219727,0.06975392491268342,tensor(0.9721),0.9520571467312391,0.9990965296377892
10000,0.0004,0.05,random_1,196.22944164276123,dmp,4.276531934738159,0.06316857446869961,tensor(0.9830),0.9849275675086551,0.9996631030626579
10000,0.0004,0.05,random_1,196.22944164276123,Srivastava,0.03237175941467285,0.13078797228546607,tensor(0.9360),0.9402112470460979,0.9981764905737418
10000,0.0004,0.05,random_1,196.22944164276123,ALE,0.03758382797241211,4.3900567498156065,tensor(0.4188),0.7369365903965984,0.8649420362058511
10000,0.0004,0.05,random_1,196.22944164276123,Modified_ALE,0.03905963897705078,50.8388375392647,tensor(-0.0012),0.07244415104949398,0.569849647600852
10000,0.0004,0.05,random_1,191.6692409515381,Matic,0.027954578399658203,0.03799458392600444,tensor(0.9906),0.9880712862573781,0.9996770055366127
10000,0.0004,0.05,random_1,191.6692409515381,fixed_point,0.0787045955657959,0.06975392491268342,tensor(0.9721),0.9520571467312391,0.9990965296377892
10000,0.0004,0.05,random_1,191.6692409515381,dmp,4.265404939651489,0.06316857446869961,tensor(0.9830),0.9849275675086551,0.9996631030626579
10000,0.0004,0.05,random_1,191.6692409515381,Srivastava,0.03240704536437988,0.13078797228546607,tensor(0.9360),0.9402112470460979,0.9981764905737418
10000,0.0004,0.05,random_1,191.6692409515381,ALE,0.038335561752319336,4.3900567498156065,tensor(0.4188),0.7369365903965984,0.8649420362058511
